Tag,count
' Deluxe Double Room with View ',235
' Double or Twin Room with City View ',234
' Superior Double ',234
' King Double or Twin Room ',229
' Junior Double Room ',229
' Studio Triple ',229
' Privilege Double Room ',227
' Double or Twin Room with Extra Bed ',226
' Superior Room with Queen Bed Sofa ',225
' Triple Room 2 Adults 1 Child ',225
' Camper Room ',225
' Standard Suite ',223
' King Double Room ',222
' Standard Double or Twin Room with Balcony ',221
' Chelsea Double Suite ',219
' Family Suite ',216
' Double Room with Eiffel Tower View ',216
' Large Room ',216
' Deluxe King with Balcony ',213
' Urban Double or Twin Room ',213
' Double or Twin Room with Balcony ',212
' Special Offer Queen Room ',211
' Executive Single Room ',207
' Double Room with Public Transport Ticket ',206
' Classic Room with Courtyard View ',205
' Prestige Double Room ',204
' Double Room with Extra Bed ',202
' Studio King ',202
' Studio Double Room ',201
' Wonderful Room ',198
' Superior Double Room with Spa Access ',198
' Single Room with Shower ',196
' Dalston King ',195
' Cabin Single Room ',195
' Junior Suite 2 Adults ',194
' Premier King Room with City View ',192
' Double Suite ',192
' Stayed 12 nights ',191
' Executive Suite ',191
' Business trip ',190
' Superior Double Room with Balcony ',190
' Economy Twin Room ',186
' Double Room Annex ',186
' Superior Room with Spa access ',185
' Executive Queen Room with Lounge Access ',185
' Standard Twin Room with Bridge View ',183
' Double Room 2 Adults ',182
' Deluxe Guest Room ',182
' Superior Suite with 1 Double Bed and 1 Single Bed ',181
' Family Room 3 Adults ',181
' Two Bedroom Apartment ',180
' Superior Room with 1 Queen Bed ',178
' Double Room Disability Access ',177
' Queen Double Room ',175
' Two Connecting Double Rooms ',173
' Double or Twin Room with Sea View ',173
' Stayed 14 nights ',171
' Superior Queen Room with Sofa ',170
' Superior King Room with Sofa Bed ',170
' Grand Deluxe Double or Twin Room ',169
' Club Room ',166
' Family Room 4 Adults ',166
' Comfort Twin Room ',164
' Deluxe Studio ',163
' Deluxe Suite ',163
' Deluxe Double Studio ',163
' Queen Hilton Superior Room ',163
' Large Comfort Double or Twin Room ',162
' Family Room with sofa bed ',160
' Classic Double or Twin Room with City View ',160
' Superior Double Room with Two Double Beds ',158
' Superior King Room Eiffel Tower View ',158
' Executive Studio ',158
' Signature Luxury King with Balcony ',156
' Family Junior Suite 3 Adults 1 Child ',156
' Stayed 11 nights '],155
' Deluxe Family Room ',155
' Stayed 13 nights ',153
' Superior Double Room with 1 Double Bed and 1 Sofa Bed 2 places ',152
' Twin Room Disability Access ',150
' Deluxe Double or Twin Room 1 2 Adults ',150
' Executive Club Double Room ',149
' Deluxe Junior Suite ',148
' Classic King Twin Room ',148
' Queen Room with Sofa Bed ',148
' Superior Studio with City View ',148
' Standard Room with Double Bed and Sofa Bed ',147
' Premier Single Room ',147
' Superior Family Room ',146
