Tag,count
' One Bedroom Suite with City View ',33
' Luxury Double Room Small ',33
' Superior Double Twin Room with Free Parking ',33
' Residence Suite ',33
' Superior Double or Twin Room with Pool Spa Access ',33
' Double Room Crash Pad Under 30s ',33
' Deluxe Barcelona city View ',33
' King Corner Room ',33
' Double Room GWR Tower ',32
' Suite with Terrace ',32
' Classic Double or Twin Room with extra bed ',32
' Apartment 4 Adults ',32
' Triple Room with Spa Access ',32
' Deluxe Duplex Room ',32
' Superior Room with 1 Double Bed and 1 Sofa Bed 3 Adults ',32
' Spectacular Room ',31
' Junior Deluxe Double Room ',31
' Single Cabin Room ',31
' Executive Room with River View ',31
' Family Queen Room ',31
' Superior Capucines Room ',31
' Small Double Room without Window ',31
' Superior Double Room with Terrace and Cathedral View ',31
' Sextuple Room ',31
' Twin Room with Extra Bed 3 Adults ',31
' King Deluxe Room with Canal View ',31
' Superior Executive Room ',31
' Standard Double or Twin with view ',31
' Panorama Suite ',31
' Double Room L ',31
' Privilege Double or Twin Room with Spa Access ',31
' Business Double Room with WiFi and Breakfast ',31
' Superior Triple Room XL ',31
' Grande Suite ',31
' Comfort Double Room with Terrace ',31
' Panoramic Room ',30
' Prestige Suite ',30
' Superior Double Room with Saint Germain des Pr s Church View ',30
' Superior Room with Balcony with Spa Access ',30
' Luxury Twin Room Solarium ',30
' Deluxe Double Room with Courtyard View ',30
' Premier Twin Room with City View ',30
' Elegance Double or Twin Room ',30
' King Room Second Floor ',30
' Superior Double or Twin Room with Canal View ',30
' Superior Double Room with Terrace and City View ',30
' Triple Room 3 Adults ',30
' Superior Room with 1 Double bed and Sofa 3 adults ',30
' Classic Double Room with View ',30
' Double or Twin Room with Park View ',30
' Economy Single Room basement no window ',29
' Saint Honor Double Suite ',29
' Superior One Bedroom Apartment ',29
' Executive Family Room 2 Adults and 2 Children ',29
' Room with View ',29
' Apartment 3 Adults ',29
' Classic Room with One Queen Bed ',29
' Family Two Bedroom Suite ',29
' Superior Queen Suite with Sofa Bed 2 Adults ',29
' Executive Room with 1 Queen bed ',29
' Superior Room with 1 Double Bed and 1 Sofa Bed 1 place ',29
' Junior Suite with Balcony ',29
' Executive Room with Canal View ',29
' Double Room with Extra Bed 2 Adults 1 Child ',29
' Deluxe Family Room with 1 Double and 2 Single Beds 4 Adults ',29
' Deluxe Room with view ',29
' Top Deluxe Room ',29
' Delightful King Twin Room ',28
' Classic Double Room with Free Access to Hamman ',28
' Standard Guestroom ',28
' Superior Deluxe Double Room ',28
' Superior Room with 2 Double Beds ',28
' Traditional Double Room ',28
' Comfort King or Twin Room ',28
' Executive Queen Room with Two Queen Beds with lounge Access ',28
' Romantic Double Room ',28
' One Bedroom Queen Suite ',28
' King Junior Suite ',28
' Chambers Grand Junior Suite with Club Lounge Access ',28
' Special Offer Only For Cruise Passengers ',28
' Premier Double or Twin Room with Extra Bed ',28
' Executive Deluxe Room ',28
' Small Double Room with Terrace ',28
' Hyatt Queen Room ',28
' Hyatt King Room ',28
' Garden View King ',28
' King Room Mobility Accessible ',28
' One Bedroom Apartment with City View ',28
' Suite with City View ',27
' Superior Premium Room with Queen Bed Sofa ',27
' Deluxe Queen Guestroom ',27
' Junior Suite with City View ',27
' Stayed 17 nights ',27
' King Room with Sofa Bed and Balcony ',27
' Garden Twin Room ',27
' Triple Room Free Wi Fi ',27
' King Room with View ',27
' Classique Square ',27
' Double Twin Superior Room ',27
' Exclusive Double Room ',27
' One Bedroom King Suite with Sofa Bed ',27
' Superior Double or Twin Room with Courtyard view ',27
' Executive Double Room with Access to Executive Lounge ',27
' Family Room 2 Adults 2 Children with Access to Nagomi Health ',27
' Premium Double or Twin Room with Terrace and Spa Access ',27
' Executive Suite with View ',27
' Comfort Double or Twin Room with Rambla View ',27
' Superior Twin Room with Park View ',27
' Cool Corner Suite ',27
' Executive King Room with City View ',27
' Imperial Club Double Room with access to the Club Lounge ',27
' 1 King Bed Guest Room ',27
' Queensgate Twin Room ',26
' Premium Double Room with Garden View ',26
' Junior Suite with Spa Access Free Wifi ',26
' Standard Room with Double Bed ',26
' Double Deluxe Plus Room ',26
' 2 Adjacent Non Communicating Rooms ',26
' Budget Single Room Non Smoking ',26
' Superior Double Room with Sea View ',26
' Amiral Single Room ',26
' Park Studio King ',26
' Deluxe Family Room with View ',26
' Double Room for Single Use ',26
' Business Double Room with Courtyard View and Public Transport Ticket ',26
' Luxury Quadruple Room ',26
' Wonderful Sky Room ',26
' Deluxe Room with City View ',26
' Deluxe Double Room with Canal View ',26
' Double Room with Shower ',25
' Stayed 18 nights ',25
' Double Room with Four Poster Bed ',25
' Superior Suite 3 Adults 1 Child ',25
' Triple Room Disability Access ',25
' Quadruple Room with Shower ',25
' Executive Double Room with Eiffel Tower View ',25
' Twin Suite ',25
' Superior Room Queen Bed ',25
' Standard Room with 1 Queen Bed ',25
' Deluxe Two Bedroom Apartment ',25
' Premium Superior Double Room ',25
' Luxury Triple Room ',25
' Superior Duplex Room ',25
' Double Room with Extra Bed 2 Adults 1 Child with Ramblas View ',25
' Deluxe Metropolitan City Double Room ',25
' Double Room Crash Pad ',25
' Canal View King ',25
' Superior Deluxe King or Double Room ',25
' Souterrain Triple Room ',25
' Deluxe King Guestroom ',24
' Queen Suite with Lounge Access ',24
' Stayed 19 nights ',24
' Classic Junior Suite ',24
' Deluxe Double Room or Twin Room ',24
' King Studio ',24
' Superior room with Queen bed and sofa ',24
' Deluxe with Garden ',24
' Superior Suite Junior ',24
' Twin Studio ',24
' Classic Double Room with Courtyard View ',24
' Deluxe Guest room 1 King or 2 Twin Single Bed s ',24
' Single Room with Free Airport Shuttle Service from 5 00am to 00 30am ',24
' Falconers Two Bedroom Suite ',24
' Interconnecting Double Rooms ',24
' Superior Metropolitan Park Double Room ',24
' City Twin Room with Surprise Package ',24
' King Premier Room ',24
' REN Room Free Wifi ',24
' Studio with Courtyard View ',24
' Comfort Room with Extra Bed ',24
' Two Bedroom Suite with Two Bathrooms ',24
' Double or Twin Room 2 Adult 1 Children ',24
' Junior Suite with access to the Club Lounge ',24
' Single Room with Courtyard View ',24
' Superior King with Balcony ',23
' Deluxe King Room with Canary Wharf View ',23
' Executive King Room with Sofa Bed Non Smoking ',23
' Prestige Double or Twin Room ',23
' Superior Room Pigalle ',23
' Classic Double Room Les Pop ',23
' Art Deco Double Room ',23
' Room with Dock View Upper Deck ',23
' Classic Apartment ',23
' Room with Dock View Main Deck ',23
' Cosy Twin Room ',23
' Studio Apartment ',23
' Marina Twin Suite ',23
' Family Room with View ',23
' Junior Suite with Private Pool Spa Access ',23
' Junior Suite Double 1 2 Adults ',23
' Junior Suite with Private Pool ',23
' Suite with St Stephen s Cathedral View ',23
' Superior Double Room Single use ',23
' Luxury King Room with River View ',23
' Executive Suite 2 Adults 2 Children ',22
' King Room Disability Access Non Smoking ',22
' Junior Deluxe Twin Room ',22
' Executive Double Room Studio D Artiste ',22
' Nadler Deluxe Double Room ',22
' Two Adjacent Double Rooms ',22
' 2 Adjacent Rooms ',22
' Double Room with Shared Bathroom ',22
' Superior Double Room with Spa Access Free Wifi ',22
' Classic Designer ',22
' Andaz King Twin Room ',22
' Classic Master Suite ',22
' Gallery Suite ',22
' Large Deluxe Room ',22
' Standard Double or Twin Room with View ',22
' Duplex Apartment 6 Adults ',22
' Privilege Junior Suite with Spa Access ',22
' Premium Double or Twin Room with View and Terrace ',22
' King Junior Suite City View with Access to Executive Lounge ',22
' City Garden Room ',22
' Superior Suite with View ',22
' Deluxe Triple Room with View ',22
' Premium Twin Room ',22
' Deluxe King ',22
' Special Offer Twin Double Room Stay and Park ',22
' Junior Suite 1 3 Adults ',22
' Standard Double Room Single Use ',22
' Large Canal View King ',22
' Executive Room Free Executive Lounge Access ',21
' Suite 2 Adults ',21
' Two Adjacent Classic Rooms ',21
' 2 Connecting Rooms 5 people ',21
' King Size Double Room ',21
' Family Executive Room 2 Adults 2 Children ',21
' Standard Double Studio ',21
' Premium Room Grand Pigalle ',21
' Superior Room for 1 2 people with Kitchenette ',21
' King Cathedral View Room ',21
' Park Deluxe Twin ',21
' Urban Junior Suite ',21
' Superior Double or Twin Room Non Smoking ',21
' Executive Double Room with Executive Lounge Access ',21
' Luxury Suite Superior ',21
' Executive Double Room with City View ',21
' Deluxe Double or Twin Room 3 Adults ',21
' Club Room with Club Lounge Access ',21
' Executive Suite with Balcony ',21
' Fabulous Exchange King ',21
' Twin Hilton Plaza Room ',21
' Executive Suite 2 Adults ',21
' Small Double Room with Canal View ',21
' Fabulous Room ',20
' Stayed 16 nights '],20
' Superior King Room with Balcony ',20
' Premium Room 2 Adults ',20
' Family Room Two connecting Rooms ',20
' Club Queen Room ',20
' Suite 4 Adults ',20
' Two Connecting Superior Double Rooms ',20
' Deluxe Quadruple Room ',20
' Mezzanine Suite ',20
' River View Balcony Suite ',20
' Executive King or Twin Room ',20
' Director s Double Room ',20
' Deluxe Double Room with Extra Bed ',20
' Hoxton Studio Suite ',20
' Accessible Twin Guest Room ',20
' Junior Suite Executive ',20
' Standard Double Room Pigalle 15 ',20
' Superior Premium Queen Room with Sofa Bed ',20
' Privilege Twin King Room ',20
' Classic Quadruple Room ',20
' Standard Room with Queen Bed Renovated ',20
' Luxury King Room 3 Adults ',20
' Marina Suite with Canal View ',20
' Deluxe Double or Twin Room with Balcony ',20
' Twin City View Room ',20
' Double or Twin Room with Sofa Bed ',20
' Club Double or Twin Room with Executive Lounge Access ',20
' Deluxe Double or Twin Room with Landmark View ',20
' Classic Twin View ',20
' Embassy Suite ',20
' Deluxe Imperial Room ',20
' Double Room with St Stephen s Cathedral View ',20
' Superior Twin Room with Courtyard Garden or City View ',20
' Double or Twin Room Single Use ',20
' Executive room with Executive lounge access Free Wifi ',20
' Montcalm Club Twin Room ',19
' Club King Room with Lounge Access ',19
' Comfort Single Room with Window and Double Bed ',19
' Principle Double ',19
' Deluxe King Plus ',19
' Mus e d Orsay Double Room ',19
' Prestige Family Room ',19
' Junior Suite Avenue ',19
' Executive Deluxe King Room ',19
' Luxury Double Room with Balcony ',19
' Deluxe Room with Terrace ',19
' Standard Twin Room with Sofa ',19
' Junior Suite with Canal View ',19
' Luxury Room 2 Adults with canal view ',19
' Family Room 2 Adults 3 Children ',19
' Suite with Duomo View ',19
' Superior Double Room with Duomo View ',19
' Two Bedroom Family ',19
' Family Duplex Room ',19
' Superior Double Room with free pool and hammam access ',18
' Superior Room queen size bed and double sofa bed ',18
' Premium Junior Suite with King size Bed ',18
' Standard Twin Room with Arc de Triomphe View ',18
' Privilege Room With View ',18
' Queensgate Triple Room ',18
' Deluxe Triple Room with Tea Time Included ',18
' Double Room with Mobile Phone ',18
' Queen Room with Balcony ',18
' Deluxe Executive Room ',18
' Magistrate King ',18
' Room with River View Upper Deck ',18
' Superior Double Studio ',18
' Executive Room with queen size bed and single sofa bed ',18
' Superior Double or Twin Room Tea Time Wine Tasting Included ',18
' Smart Double or Twin Room ',18
' Superior Premium Room with Queen Bed and Sofa Bed ',18
' Deluxe Room 1 or 2 people ',18
' Deluxe Family Room 4 Adults ',18
' Junior Suite with River View ',18
' Suite 5 Adults ',18
' Junior Family Suite 2 Adults ',18
' Corner Suite with Lounge Access ',18
' Economy Plus Double Room ',18
' Club Double Room with Lounge Access ',18
' Economy Double Room basement no window ',17
' Deluxe King Guestroom with view ',17
' Deluxe Twin Room 2 Adults ',17
' Superior Triple Room with 3 Single Beds ',17
' Solo traveler '],17
' King Room with Eiffel Tower View ',17
' Club Deluxe Room ',17
' Deluxe Double Room with 1 Extra Bed ',17
' Superior Room with Queensize Bed and single sofa bed 3 adults ',17
' Executive King Room with View ',17
' Twin Grand Deluxe Room ',17
' Standard Room With 2 Zip Beds ',17
' Pasha Suite ',17
' Standard Double Room with Sofa ',17
' Superior Double Room Free Wi Fi ',17
' Lower Ground Double Room ',17
' Grand Executive King Room ',17
' Deluxe Room 2 Adults ',17
' Executive Queen Room Non Smoking ',17
' Deluxe Twin or Double Room ',17
' Suite Duplex ',17
' Superior Queen Room Non Smoking ',17
' Suite Breakfast and Bottle of Champagne Included ',17
' Comfort Double Room With Sacr Coeur View ',17
' Junior Suite Courtyard ',17
' Classic Room with Garden View ',17
' Master Bedroom Suite ',17
' Trash City Suite ',17
' Family Suite 4 Adults ',17
' King Executive Room ',17
' Family 2 Connecting Rooms ',17
' Small Double Room with Extra Bed Annex building ',17
' Double Room with City View 1 2 Adults ',17
' Suite with Private Pool ',17
' Amsterdam Street Art Queen Guest Room ',17
' Special Offer Twin Room ',17
' Classic King View ',17
' Superior Double Room 1 2 Adults ',17
' Hyatt King Room with View ',17
' Superior Deluxe Double or Twin Room with Spa Access ',17
' Standard Double Room with Parking ',17
' Junior Suite with Park View ',16
' Suite with Spa Bath ',16
' Business Double Room Ground Floor ',16
' Double Room Op ra Garnier with Spa Bath ',16
' Superior Pantheon Room ',16
' Double Room Luxury XXL King size bed ',16
' Sensation Room ',16
' 2 Connecting Rooms 4 people ',16
' Superior Twin Room with Eiffel Tower View ',16
' Deluxe Room Henry Monnier ',16
' Premium Room ',16
' Executive Queen Room with Lounge Access Mobility Access ',16
' Luxury Double Room with Balcony and River View ',16
' Duplex Junior Suite ',16
' Deluxe Apartment ',16
' Superior Romantic Double Room ',16
' The Level Room with Executive Lounge Access ',16
' Basic Double or Twin Room with Parking ',16
' Standard Triple Room with Queen Bed and Sofa Bed ',16
' Atrium ',16
' King Hilton Deluxe Room ',16
' Suite with Spa Access 1 Adult ',16
' King Junior Suite with Lounge Access ',16
' Junior King Suite with View 2 Adults ',16
' Superior Double or Twin Room with Parking ',16
' King Room with Executive lounge access ',16
' Congress Suite ',16
' Stayed 20 nights ',15
' Group '],15
' Superior Double or Twin Room Moon Blue ',15
' Junior Suite with Spa Bath ',15
' Stayed 17 nights '],15
' Double Room Moulin Rouge with Shower ',15
' Premier King Room ',15
' Superior Queen Room with Paris View ',15
' Superior Designer ',15
' Double or Twin Room with Garden View ',15
' Townhouse Club ',15
' King Guest Room with Sofa Bed ',15
' Double Room with City View 1 Adult ',15
' Two Double Bed Guest Room ',15
' Superior Room with 1 Double Bed and 1 Sofa Bed 2 places ',15
' Double Room with Arc de Triomphe View a Glass of Champagne ',15
' Romantic Offer Double Room ',15
' Apartment 6 Adults ',15
' Executive Twin Room with Access to Executive Lounge ',15
' Premium Quadruple Room ',15
' Superior Double Room with Sofa Bed 3 Adults ',15
' One Bedroom Suite with Sea View ',15
' Deluxe Double Room with Private Patio ',15
' Double Room with Extra Bed 3 Adults ',15
' Classic Triple Room 2 Adults ',15
' Suite with Spa Access 3 Adults ',15
' Mega Room ',15
' Hyatt Twin Room ',15
' superior Double or Twin Room with extra bed ',15
' Club Double Room with free Internet and Breakfast ',15
' Junior Suite with Eiffel Tower View ',14
' Stayed 21 nights ',14
' Kube Double or Twin Room ',14
' Single Room Joy ',14
' Privilege Double or Twin Room Courtyard side ',14
' Double Room 1 Adult with Eiffel Tower View ',14
' Triple Room Relax ',14
' Deluxe Room with spa access ',14
' Standard Twin Room with Tea Time Included ',14
' Double Room D couverte ',14
' One Bedroom King Suite ',14
' Executive Room City View ',14
' Deluxe King Room with Paris View ',14
' Twin Room with View ',14
' Superior Double Room with 1 extra bed ',14
' Superior Double Room Les Artys Les Fifties ',14
' Four Poster Suite ',14
' Standard Double Room Ground Floor ',14
' Petite Double Room ',14
' Double Room with Sauna Access ',14
' Drop Dead Gorgeous Splash Suite ',14
' Classic Double Room with Street View ',14
' Kings Three Bedroom Suite ',14
' King Executive Plus Room ',14
' Premium Double Room with Balcony ',14
' Deluxe Double Room with Patio ',14
' Kings Deluxe Junior Suite ',14
' Junior Suite with Cathedral View ',14
' Double Deluxe room with Roman Bath ',14
' Apartment with City View Top Floor ',14
' Quintuple Room 5 Adults ',14
' Family Room 4 People ',14
' Deluxe Twin Room Annex ',14
' Superior Double Room 3 Adults ',14
' Twin Room with Partial Sea View ',14
' Quadruple Room Annex ',14
' Wonderful Double Room ',14
' Cozy Room ',14
' Executive Double Room with Turkish Bath ',14
' Superior King Room with Lounge Access ',13
' Deluxe Double with Terrace ',13
' Deluxe King Room with Club Lounge Access and Balcony ',13
' Double Room Tour Eiffel with Shower ',13
' Standard Twin Room with 2 single beds ',13
' Mandarin Room ',13
' Family Room with Two Double Beds ',13
' Executive Room with Garden View ',13
' Marquise Superior Double or Twin Room ',13
' Hilton Queen Family Room ',13
' Standard Room with Mobile Phone ',13
' Double Room Relax ',13
' Family Suite with two connecting rooms ',13
' Superior Queen Suite with Sofa 3 Adults ',13
' Executive King Twin Room ',13
' Townhouse Deluxe ',13
' Regency Suite ',13
' Superior Room Non Smoking ',13
' Premier Deluxe Twin Room ',13
' Confort Queen Room ',13
' Park Queen ',13
' King Atrium Suite with Lounge Access ',13
' Double Room Ground Floor ',13
' Twin Deluxe with Canal View ',13
' Double for Single Use ',13
' Privilege Junior Suite with Terrace and Spa Access ',13
' The Level Executive Service Room ',13
' Superior Double Room with Terrace and View ',13
' Luxury Double Room Medium ',13
' Garden Cottage ',13
' Superior Room with Two Double Beds and View ',13
' Luxury Triple Room with Garden View ',13
' Ambassador Suite ',13
' Deluxe Double or Twin Room with Canal View Annex building ',13
' Standard Double Room Non Smoking ',13
' Grand Deluxe Contemporary Room ',13
' Grand Executive Club Room ',13
' Garden View Queen ',13
' Mosaic Double Room ',13
' Classic Double Room 1 Adult ',13
' Superior room Design Style Free Wifi ',13
' Grand Duplex Suite ',13
' Junior Suite with Courtyard View ',13
' Executive Double Room with Spa Bath ',13
' Junior Suite with Club Lounge Access ',12
' Standard Double Room with Bath ',12
' Double Room with Patio View ',12
' Standard 1 Bedroom Apartment ',12
' Executive Room with queen size bed and single sofa bed 2 Adults 1 child ',12
' Emotion Room ',12
' Classic Room with 2 double beds ',12
' Executive Suite with Lounge Access ',12
' Single Room Non Smoking ',12
' Urban Deluxe ',12
' Executive Queen Room with Eiffel Tower View ',12
' Royal Double Room ',12
' Deluxe Studio Apartment 2 Adults ',12
' Compact Double Room shared bathroom ',12
' Deluxe Single Room with Shared Bathroom ',12
' Superior Room with Spa Access Free Wifi ',12
' Classic Double Room with City View ',12
' Suite 2 Adults 2 Children ',12
' Deluxe Twin Studio ',12
' Superior Room with 1 Queen Bed and Sofa ',12
' Classic Double Room for Single Use ',12
' Squint Splash Suite ',12
' Superior Room with Extra Bed 3 Adults ',12
' Falconers One Bedroom Suite ',12
' Nelson Double Room ',12
' Urban Suite ',12
' Two Connecting Basic Rooms ',12
' Triple Apartment ',12
' Souterrain Executive Double Room ',12
' Superior Double or Twin Room with Garden View ',12
' Business Plus Double Room with Balcony ',12
' Classic Single Room with Garden View ',12
' Comfort Suite ',12
' Deluxe Boulevard Double Room ',12
' City Apartment ',12
' Deluxe Park View ',12
' Studio Disability Access ',11
' Cool Corner Room ',11
' Deluxe King Room with Garden View ',11
' Superior Room with 1 Double Bed and 1 Single Bed ',11
' Superior Double Room with Free Access to Hamman ',11
' Deluxe Room with Club Lounge access ',11
' King Suite with Sofa Bed Non Smoking ',11
' Business King Room ',11
' Executive Studio with London Eye View ',11
' Deluxe Double Room with Separate Lounge Area ',11
' Privilege Room with Double Bed and Single Sofa Bed ',11
' Superior Twin Room 2 adults ',11
' Double Room Trocad ro with Spa Bath ',11
' Family room Free Wi Fi ',11
' Twin Guest Room Plus ',11
' Superior Four Poster Room ',11
' Deluxe Room with Whirlpool ',11
' Double Hilton Guest Room Plus ',11
' Deluxe Double Room with Spa Access Free Wifi ',11
' Two Connecting Double and Twin rooms ',11
' Executive Room with 1 Queensize Bed ',11
' Deluxe double or Twin Room ',11
' Double Room Audacieuse ',11
' Superior Twin Room with Free Pool Access ',11
' Standard Twin Room Non Smoking ',11
' Superior Double Room with Street View ',11
' Privilege Superior Room ',11
' Studio King 3 adults ',11
' Non Smoking Standard Room with 1 Double Bed ',11
' Deluxe room with 1 queen bed ',11
' Superior King Room with Iconic View ',11
' Exclusive Guest room 1 King or 2 Twin Single Bed s ',11
' Superior Queen Single Room ',11
' Deluxe Balcony Room ',11
' Superior Twin Room with Cathedral View ',11
' Royal Suite Split Level with Spa Bath Annex building ',11
' Superior Room with Club Lounge Access Free Wifi ',11
' Family Apartment 2 Adults 2 Children ',11
' Deluxe Double Room with Balcony Non Smoking ',11
' Twin Room with Sea View ',11
' King Room with Partial Sea View ',11
' Executive Double or Twin Room with City View ',11
' Nhow Premium Double or Twin Room ',11
' Deluxe Suite with City View ',11
' Superior Double or Twin Room XL with Extra bed ',11
' Single Room with Bath ',10
' Premium Superior Queen Room ',10
' Privilege Top Floor with Terrace ',10
' Two Interconnecting Rooms ',10
' Club Double Room with Club Lounge Access ',10
' Two Bedroom Family Joining Suite with Mobile Phone 2 adults 3 children ',10
' One Bedroom Suite with Lounge Access ',10
' Mayfair Suite with Lounge Access ',10
' Premium Double Twin Room ',10
' Large Double or Twin Room ',10
' Deluxe Room with 1 Double Bed ',10
' Xscape King ',10
' Double Executive Room ',10
' Family Room 2 connected Double Rooms ',10
' Loft Junior Suite ',10
' Queen Suite ',10
' Studio Deluxe Suite ',10
' Triple Room with Terrace ',10
' Room with River View Main Deck ',10
' Deluxe Double Room 2 Adults 1 Child ',10
' One Bedroom Suite with Kitchen ',10
' Studio Twin Room 3 adults ',10
' Grand Junior Suite ',10
' Club King Room Non Smoking with Executive Lounge Access ',10
' Double or Twin Room with Balcony or Terrace ',10
' Family Premium Room 2 Adults 2 Children ',10
' Deluxe Double Room with Two Single Beds ',10
' Superior King or Double Room ',10
' Deluxe Queen Room with Two Queen Beds ',10
' Club Double or Twin Room with Club Lounge Access ',10
' Deluxe Plus Double Room ',10
' Classic Twin Room with View ',10
' Junior Suite Immersive Art Experience ',10
' Standard Duplex Room 3 Adults ',10
' Single Room with Bathroom ',10
' Executive Double or Twin Room Canal View ',10
' King Hilton Sea View ',10
' Executive Room with Terrace ',10
' Large Garden View King ',10
' Penthouse King Executive Room with Access to Executive Lounge ',10
' Garden View Twins ',10
' Deluxe Premium Double Room ',10
' View Queen ',10
' Luxury Room 3 Adults with canal view ',10
' Superior Twin Room with Private Pool ',10
' Executive Suite 3 Adults ',10
' Double Room with Park View ',10
' Superior Business Room with a Double Bed and Sofa Bed ',10
' Junior Suite with Gallery View ',10
' Stayed 21 nights '],9
' Master Suite with Club Lounge Access ',9
' Executive King or Twin Room with Lounge Access and Park View ',9
' Family with young children '],9
' Luxury Room Club Sofitel with Spa Access ',9
' Deluxe Double or Twin Room Light my Fire ',9
' Exclusive Suite Eiffel ',9
' Deluxe Double Room with Club Lounge Access ',9
' Deluxe Double Room with Free Access to Hamman ',9
' Classic Double or Twin Room with Pool Access ',9
' Deluxe Room With Pool Access ',9
' Privilege Double Room with free pool and hammam access ',9
' Suite with Sofa Bed ',9
' Ambassadors Room ',9
' Superior Room 3 Adults ',9
' Stayed 27 nights ',9
' Classic Double Single Use ',9
' Superior Twin Room with Paris View ',9
' Two Bedroom Family Room ',9
' Deluxe Twin Room with Spa Access ',9
' Superior Twin Room with Pool Access ',9
' Standard Room with 2 Double Beds ',9
' Suite Family Room ',9
' 3 Connecting Rooms ',9
' Family Room with Bathroom ',9
' Deluxe Designer ',9
' Mezzanine Room ',9
' Paris Style Queen or Twin Room with Spa access ',9
' Deluxe Eiffel Tower Twin Room ',9
' Executive Studio Apartment 2 Adults 1 child ',9
' Studio Attrape R ve ',9
' Cosy Family ',9
' Premier Room ',9
' One Bedroom Deluxe Suite ',9
' Superior Double or Twin Room with Sauna Access ',9
' Standard Room with queen size bed and double sofa bed 3 Adults ',9
' Two Bedroom Superior Suite ',9
' King Room with City View ',9
' Double Accessible Guest Room ',9
' Junior Suite with 1 King Size Bed ',9
' King Room with Knightsbridge View ',9
' Double Room Courtyard ',9
' Corner Twin Room ',9
' Kings One Bedroom Suite ',9
' Superior King Suite ',9
' Premium Double Room with Views ',9
' Superior Double or Twin Room with Free Airport Shuttle Service from 5 00am to 00 30am ',9
' Double or Twin Room Select ',9
' Suite 1 2 Adults with Spa Access ',9
' Family Room XL ',9
' King Grand Premier with Canal View ',9
' Double Guest Room with River View ',9
' Imperial Suite ',9
' Special Offer Comfort Double Room with Parking ',9
' Family Room Annex ',9
' Deluxe Suite with Executive Lounge Access ',9
' Comfort Plus Double Room ',9
' Ruyschen Suite ',9
' View King Room ',9
' Superior Double or Twin Room XL with View ',9
' Loft Suite Disability Access ',9
' Business Double Room with Balcony ',9
' King Hilton Executive Room with Access to Executive Lounge ',9
' Family Room 3 Adults 1 Child ',9
' Small Deluxe Room with Canal View ',9
' Economy Quadruple Room ',9
' Superior Double Room with Massage Chair ',9
' Presidential Suite ',8
' Junior Suite XL ',8
' Superior Triple Room with 1 Double Bed 1 Single Bed ',8
' Executive Triple Room with Garden View ',8
' Junior Suite with Private Access to Pool and Spa ',8
' Champagne Shopping package Twin Room ',8
' King Deluxe Family Room ',8
' Double Room with Club Lounge Access ',8
' Superior Double Room Breakfast included ',8
' Duplex King Suite 2 Adults 2 Children ',8
' Stayed 23 nights ',8
' Stayed 18 nights '],8
' Executive King ',8
' Comfort Single Room with Shower ',8
' Terrace Suite with Lounge Access ',8
' Superior Double Room with Extra Bed ',8
' Adjacent Double Rooms ',8
' Deluxe King Room Wheelchair Accessible ',8
' Executive Four Poster Room ',8
' Twin Room with Mobile Phone ',8
' Suite Parisienne ',8
' Deluxe Triple Room with Paris View ',8
' Special Offer Double Room 3 nights minimum ',8
' Premier River King Room ',8
' Suite Avenue ',8
' Exclusive Double or Twin Room La Mondaine ',8
' Suite 2 Adults 1 Child ',8
' Junior Suite with View ',8
' Apartment Suite ',8
' Art Deco Deluxe Room ',8
' Executive Room Swimming Pool Hammam Access upon reservation ',8
' Double Room Comtesse ',8
' Privilege Room 3 Adults ',8
' Hoxton Family Suite ',8
' Club Level Classic Rooms ',8
' Suite without Window ',8
' Mandarin Junior Suite ',8
' Junior Suite with Queen Size Bed ',8
' Superior Double Room with Roll In Shower Disability Access ',8
' Standard Twin Room 2 Adults 1 Child ',8
' King Executive Suite with Lounge Access ',8
' Superior Double Room Pigalle 17 ',8
' Business Studio Suite ',8
' Family Room 2 Adults 1 Children ',8
' Double or Twin Room with Parking ',8
' Premium Suite ',8
' Duplex Suite with State Opera View Top Floor ',8
' Premium Double or Twin Room XL with View ',8
' Panorama Guest room 1 King or 2 Twin Single Bed s ',8
' Basic Double Room NR ',8
' Superior Garden View Room ',8
' Double Room with City View Top Floor ',8
' Junior Suite with Mountain View ',8
' City Suite ',8
' Two Connecting Double or Twin Rooms ',8
' Premium Family Room ',8
' Premium Double or Twin Room with Garden View ',8
' Executive Queen Room Mobility Access with Lounge Access ',8
' Queen Junior Suite ',8
' Executive Suite with Spa Bath ',8
' Suite with Rambla View ',8
' Grand Premium Double or Twin with City View ',8
' Executive Twin Room 1 2 Adults ',8
' Bridal Suite with view ',8
' Family Junior Suite 4 adults ',8
' Deluxe Double Room with Connecting Doors ',8
' Business Single Room with Balcony ',8
' King Room with Pool View ',8
' Grand Deluxe Imperial Room ',8
' Fabulous Sky Room ',8
' Deluxe Double or Twin Room with Ramblas View ',8
' Executive Penthouse with Canal View ',8
' Deluxe Twin ',8
' Ambassador Junior Suite ',8
' Deluxe Triple Room with Canal View ',8
' 2 Twin Beds Guest Room ',8
' Two Adjacent Double or Twin Rooms ',8
' Deluxe Twin Room Souterrain Basement ',8
' King Family Room ',8
' Privilege Double Room with Saint Germain des Pr s Church View ',7
' Prestige Double Room with Eiffel Tower View ',7
' Classic Room Breakfast Included ',7
' Room with Park View ',7
' King Duplex Suite ',7
' Classic Room with 2 Double Beds 4 Adults ',7
' Signature Suite ',7
' Superior Queen Room with Extra Bed 2 Adults ',7
' Junior King Suite with Lounge Access ',7
